ID,LotArea,Neighborhood,OverallQual,YearBuilt,Exterior1st,TotalBsmtSF,CentralAir,GrLivArea,SalePrice
House 101,9937,Edwards,5,1965,Hard Board,1256,Y,1256,147500
House 102,8450,College Creek,7,2003,Vinyl Siding,856,Y,1710,208500
House 103,9600,Veenker,6,1976,Metal Siding,1262,Y,1262,181500
House 104,11250,College Creek,7,2001,Vinyl Siding,920,Y,1786,223500
House 105,9550,Crawford,7,1915,Wood Siding,756,Y,1717,140000
House 106,14260,Northridge,8,2000,Vinyl Siding,1145,Y,2198,250000
House 107,14115,Mitchell,5,1993,Vinyl Siding,796,Y,1362,143000
House 108,10084,Somerset,8,2004,Vinyl Siding,1686,Y,1694,307000
House 109,10382,Northwest Ames,7,1973,Hard Board,1107,Y,2090,200000
House 110,6120,Old Town,7,1931,Brick Face,952,Y,1774,129900
House 111,7420,Brookside,5,1939,Metal Siding,991,Y,1077,118000
House 112,11200,Sawyer,5,1965,Hard Board,1040,Y,1040,129500
House 113,11924,Northridge Heights,9,2005,Wood Shingles,1175,Y,2324,345000
House 114,12968,Sawyer,5,1962,Hard Board,912,Y,912,144000
House 115,10652,College Creek,7,2006,Vinyl Siding,1494,Y,1494,279500
House 116,10920,North Ames,6,1960,Metal Siding,1253,Y,1253,157000
House 117,6120,Brookside,7,1929,Wood Siding,832,Y,854,132000
House 118,11241,North Ames,6,1970,Wood Siding,1004,Y,1004,149000
House 119,10791,Sawyer,4,1967,Metal Siding,0,Y,1296,90000
House 120,13695,Sawyer West,5,2004,Vinyl Siding,1114,Y,1114,159000
House 121,7560,North Ames,5,1958,Brick Face,1029,Y,1339,139000
House 122,14215,Northridge Heights,8,2005,Vinyl Siding,1158,Y,2376,325300
House 123,7449,Iowa DOT and Rail Road,7,1930,Wood Siding,637,Y,1108,139400
House 124,9742,College Creek,8,2002,Vinyl Siding,1777,Y,1795,230000
House 125,4224,Meadow Village,5,1976,Cement Board,1040,Y,1060,129900
House 126,8246,Sawyer,5,1968,Plywood,1060,Y,1060,154000
House 127,14230,Northridge Heights,8,2007,Vinyl Siding,1566,Y,1600,256300
House 128,7200,North Ames,5,1951,Wood Siding,900,Y,900,134800
House 129,11478,Northridge Heights,8,2007,Vinyl Siding,1704,Y,1704,306000
House 130,16321,North Ames,5,1957,Metal Siding,1484,Y,1600,207500
House 131,6324,Brookside,4,1927,Metal Siding,520,N,520,68500
House 132,8500,Iowa DOT and Rail Road,4,1920,Brick Face,649,N,1317,40000
House 133,8544,Sawyer,5,1966,Hard Board,1228,Y,1228,149350
House 134,11049,College Creek,8,2007,Vinyl Siding,1234,Y,1234,179900
House 135,10552,North Ames,5,1959,Brick Face,1398,Y,1700,165500
House 136,7313,Northridge Heights,9,2005,Metal Siding,1561,Y,1561,277500
House 137,13418,Northridge Heights,8,2004,Vinyl Siding,1117,Y,2452,309000
House 138,10859,College Creek,5,1994,Vinyl Siding,1097,Y,1097,145000
House 139,8532,North Ames,5,1954,Wood Siding,1297,Y,1297,153000
House 140,7922,North Ames,5,1953,Vinyl Siding,1057,Y,1057,109000
House 141,6040,Edwards,4,1955,Asbestos Shingles,0,N,1152,82000
House 142,8658,North Ames,6,1965,Wood Siding,1088,Y,1324,160000
House 143,16905,Timberland,5,1959,Vinyl Siding,1350,Y,1328,170000
House 144,9180,Sawyer West,5,1983,Hard Board,840,Y,884,144000
House 145,9200,College Creek,5,1975,Vinyl Siding,938,Y,938,130250
House 146,7945,North Ames,5,1959,Brick Face,1150,Y,1150,141000
House 147,7658,Northridge Heights,9,2005,Metal Siding,1752,Y,1752,319900
House 148,12822,Mitchell,7,2003,Vinyl Siding,1434,Y,2149,239686
House 149,11096,Somerset,8,2006,Vinyl Siding,1656,Y,1656,249700
House 150,4456,Old Town,4,1920,Metal Siding,736,Y,1452,113000
House 151,7742,Sawyer,5,1966,Hard Board,955,Y,955,127000
House 152,13869,Gilbert,6,1997,Vinyl Siding,794,Y,1470,177000
House 153,6240,Brookside,6,1934,Wood Siding,816,Y,1176,114500
House 154,8472,Iowa DOT and Rail Road,5,1963,Wood Siding,816,N,816,110000
House 155,50271,Veenker,9,1981,Wood Shingles,1842,Y,1842,385000
House 156,7134,North Ames,5,1955,Metal Siding,384,Y,1360,130000
House 157,10175,North Ames,6,1964,Hard Board,1425,Y,1425,180500
House 158,2645,Somerset,8,1999,Metal Siding,970,Y,1739,172500
House 159,11645,College Creek,7,2004,Vinyl Siding,860,Y,1720,196500
House 160,13682,Stone Brook,10,2006,Vinyl Siding,1410,Y,2945,438780
House 161,7200,College Creek,5,1972,Hard Board,780,Y,780,124900
House 162,13072,Sawyer West,6,2004,Vinyl Siding,1158,Y,1158,158000
House 163,7200,Iowa DOT and Rail Road,5,1920,Metal Siding,530,N,1111,101000
House 164,6442,Northridge Heights,8,2006,Vinyl Siding,1370,Y,1370,202500
House 165,10300,Old Town,7,1921,Stucco,576,Y,1710,140000
House 166,9375,College Creek,7,1997,Vinyl Siding,1057,Y,2034,219500
House 167,9591,Northridge Heights,8,2004,Vinyl Siding,1143,Y,2473,317000
House 168,19900,North Ames,7,1970,Plywood,1947,Y,2207,180000
House 169,10665,College Creek,7,2003,Vinyl Siding,1453,Y,1479,226000
House 170,4608,Old Town,4,1945,Metal Siding,747,Y,747,80000
House 171,15593,Clear Creek,7,1953,Brick Face,1304,Y,2287,225000
House 172,13651,North Ames,7,1973,Plywood,2223,Y,2223,244000
House 173,7599,Mitchell,4,1982,Hard Board,845,Y,845,129500
House 174,10141,Gilbert,7,1998,Vinyl Siding,832,Y,1718,185000
House 175,10200,North Ames,5,1954,Wood Siding,1086,Y,1086,144900
House 176,5790,Old Town,3,1915,Vinyl Siding,840,N,1605,107400
House 177,1596,Meadow Village,4,1973,Cement Board,462,Y,988,91000
House 178,8475,North Ames,4,1956,Vinyl Siding,952,Y,952,135750
House 179,8635,Brookside,5,1948,Wood Siding,672,Y,1285,127000
House 180,10778,Sawyer,4,1968,Hard Board,1768,N,1768,136500
House 181,10440,Old Town,5,1910,Wood Siding,440,Y,1230,110000
House 182,13000,North Ames,6,1968,Vinyl Siding,896,Y,2142,193500
House 183,4500,Mitchell,6,1998,Vinyl Siding,1237,Y,1337,153500
House 184,10206,Somerset,8,2007,Vinyl Siding,1563,Y,1563,245000
House 185,8892,North Ames,5,1960,Metal Siding,1065,Y,1065,126500
House 186,8530,Gilbert,7,1995,Hard Board,384,Y,1474,168500
House 187,16059,Northridge,8,1991,Hard Board,1288,Y,2417,260000
House 188,11911,Gilbert,6,2005,Vinyl Siding,684,Y,1560,174000
House 189,3951,Somerset,6,2009,Vinyl Siding,612,Y,1224,164500
House 190,8470,Iowa DOT and Rail Road,3,1915,Plywood,1013,N,1526,85000
House 191,8070,College Creek,4,1994,Vinyl Siding,990,Y,990,123600
House 192,7200,North Ames,4,1950,Brick Face,0,Y,1040,109900
House 193,8500,North Ames,5,1961,Hard Board,1235,Y,1235,98600
House 194,13360,Crawford,5,1921,Wood Siding,876,Y,964,163500
House 195,7200,Old Town,6,1910,Metal Siding,1214,N,2291,133900
House 196,9337,College Creek,6,1997,Vinyl Siding,824,Y,1786,204750
House 197,9765,Gilbert,6,1993,Vinyl Siding,680,Y,1470,185000
House 198,10264,College Creek,7,1999,Vinyl Siding,1588,Y,1588,214000
House 199,10921,Edwards,4,1965,Hard Board,960,Y,960,94750
House 200,10625,Edwards,5,1920,Wood Siding,458,N,835,83000
House 201,9320,North Ames,4,1959,Plywood,950,Y,1225,128950
House 202,10603,Northwest Ames,6,1977,Plywood,1610,Y,1610,205000
House 203,9206,Sawyer West,6,1985,Hard Board,741,Y,1732,178000
House 204,7018,Sawyer West,5,1979,Hard Board,0,Y,1535,118964
House 205,10402,College Creek,7,2009,Vinyl Siding,1226,Y,1226,198900
House 206,7758,Iowa DOT and Rail Road,7,1931,Stucco,1040,Y,1818,169500
House 207,9375,Somerset,8,2003,Vinyl Siding,1053,Y,1992,250000
