LotArea,Neighborhood,OverallQuality,YearBuilt,Material,BasementSize,CentralAir,HouseSize,SalePrice
6120.0,Old Town,7.0,1931.0,Brick Face,952.0,True,1774.0,129900
7420.0,Brookside,5.0,1939.0,Metal Siding,991.0,True,1077.0,118000
,Sawyer,,1965.0,Hard Board,1040.0,True,1040.0,129500
11924.0,Northridge Heights,9.0,2005.0,Wood Shingles,1175.0,True,2324.0,345000
12968.0,Sawyer,5.0,1962.0,Hard Board,912.0,True,912.0,144000
10652.0,College Creek,7.0,2006.0,Vinyl Siding,1494.0,True,1494.0,279500
10920.0,North Ames,6.0,1960.0,Metal Siding,,True,1253.0,157000
6120.0,Brookside,7.0,1929.0,Wood Siding,,True,854.0,132000
11241.0,North Ames,6.0,1970.0,Wood Siding,1004.0,True,1004.0,149000
10791.0,Sawyer,4.0,1967.0,Metal Siding,0.0,True,1296.0,90000
13695.0,Sawyer West,,2004.0,Vinyl Siding,1114.0,True,1114.0,159000
7560.0,North Ames,5.0,1958.0,Brick Face,1029.0,True,1339.0,139000
,Northridge Heights,8.0,2005.0,Vinyl Siding,1158.0,True,2376.0,325300
7449.0,Iowa DOT and Rail Road,7.0,,Wood Siding,637.0,True,1108.0,139400
9742.0,College Creek,8.0,2002.0,Vinyl Siding,1777.0,True,1795.0,230000
4224.0,Meadow Village,5.0,1976.0,Cement Board,1040.0,,1060.0,129900
14230.0,Northridge Heights,8.0,2007.0,Vinyl Siding,1566.0,True,1600.0,256300
7200.0,North Ames,5.0,1951.0,Wood Siding,900.0,True,900.0,134800
11478.0,,8.0,2007.0,Vinyl Siding,1704.0,True,1704.0,306000
16321.0,North Ames,5.0,1957.0,Metal Siding,1484.0,True,1600.0,207500
6324.0,Brookside,4.0,1927.0,Metal Siding,520.0,False,520.0,68500
8500.0,Iowa DOT and Rail Road,4.0,1920.0,Brick Face,649.0,False,1317.0,40000
8544.0,Sawyer,5.0,1966.0,Hard Board,1228.0,True,1228.0,149350
11049.0,College Creek,8.0,2007.0,Vinyl Siding,1234.0,True,1234.0,179900
,North Ames,5.0,1959.0,Brick Face,1398.0,True,1700.0,165500
7313.0,Northridge Heights,9.0,2005.0,Metal Siding,1561.0,True,1561.0,277500
13418.0,,8.0,2004.0,Vinyl Siding,1117.0,True,2452.0,309000
10859.0,College Creek,5.0,,Vinyl Siding,1097.0,True,1097.0,145000
8532.0,North Ames,5.0,1954.0,Wood Siding,1297.0,True,1297.0,153000
6040.0,Edwards,4.0,1955.0,Asbestos Shingles,,False,1152.0,82000
,North Ames,6.0,1965.0,Wood Siding,1088.0,True,1324.0,160000
16905.0,Timberland,5.0,1959.0,Vinyl Siding,1350.0,True,1328.0,170000
9180.0,Sawyer West,5.0,1983.0,Hard Board,840.0,True,884.0,144000
9200.0,College Creek,5.0,1975.0,Vinyl Siding,938.0,True,938.0,130250
7945.0,North Ames,,1959.0,Brick Face,1150.0,True,1150.0,141000
7658.0,Northridge Heights,9.0,2005.0,Metal Siding,1752.0,True,1752.0,319900
12822.0,Mitchell,7.0,2003.0,Vinyl Siding,1434.0,True,2149.0,239686
11096.0,Somerset,8.0,,Vinyl Siding,1656.0,True,1656.0,249700
4456.0,Old Town,4.0,1920.0,Metal Siding,736.0,True,1452.0,113000
7742.0,Sawyer,5.0,1966.0,Hard Board,955.0,True,955.0,127000
13869.0,Gilbert,6.0,1997.0,Vinyl Siding,794.0,True,1470.0,177000
6240.0,Brookside,6.0,1934.0,Wood Siding,816.0,True,1176.0,114500
8472.0,,5.0,1963.0,Wood Siding,816.0,False,816.0,110000
50271.0,Veenker,9.0,1981.0,Wood Shingles,,True,1842.0,385000
10175.0,North Ames,6.0,1964.0,Hard Board,1425.0,True,1425.0,180500
2645.0,Somerset,8.0,1999.0,Metal Siding,970.0,,1739.0,172500
11645.0,College Creek,7.0,2004.0,Vinyl Siding,860.0,True,1720.0,196500
,Stone Brook,10.0,2006.0,Vinyl Siding,1410.0,,2945.0,438780
13072.0,Sawyer West,6.0,2004.0,Vinyl Siding,1158.0,,1158.0,158000
7200.0,Iowa DOT and Rail Road,5.0,1920.0,Metal Siding,530.0,False,1111.0,101000
6442.0,Northridge Heights,8.0,2006.0,Vinyl Siding,1370.0,True,1370.0,202500
10300.0,Old Town,7.0,,,576.0,,1710.0,140000
9375.0,,7.0,1997.0,Vinyl Siding,1057.0,True,2034.0,219500
9591.0,Northridge Heights,8.0,2004.0,Vinyl Siding,1143.0,True,2473.0,317000
19900.0,North Ames,,1970.0,Plywood,1947.0,True,2207.0,180000
10665.0,College Creek,7.0,2003.0,Vinyl Siding,1453.0,True,1479.0,226000
4608.0,Old Town,4.0,1945.0,Metal Siding,747.0,True,747.0,80000
15593.0,Clear Creek,7.0,,Brick Face,1304.0,True,2287.0,225000
13651.0,North Ames,7.0,1973.0,Plywood,2223.0,True,2223.0,244000
7599.0,Mitchell,4.0,1982.0,Hard Board,845.0,,845.0,129500
10141.0,Gilbert,7.0,1998.0,Vinyl Siding,832.0,True,1718.0,185000
10200.0,North Ames,5.0,1954.0,Wood Siding,1086.0,True,1086.0,144900
5790.0,Old Town,3.0,1915.0,Vinyl Siding,,False,1605.0,107400
1596.0,Meadow Village,4.0,1973.0,Cement Board,462.0,True,988.0,91000
8475.0,North Ames,4.0,1956.0,Vinyl Siding,952.0,,952.0,135750
8635.0,Brookside,5.0,1948.0,Wood Siding,672.0,True,1285.0,127000
10778.0,Sawyer,4.0,1968.0,Hard Board,1768.0,False,1768.0,136500
,Old Town,5.0,1910.0,Wood Siding,440.0,True,1230.0,110000
13000.0,North Ames,6.0,1968.0,Vinyl Siding,896.0,True,2142.0,193500
4500.0,Mitchell,6.0,1998.0,Vinyl Siding,1237.0,True,1337.0,153500
10206.0,Somerset,8.0,2007.0,Vinyl Siding,1563.0,True,1563.0,245000
8892.0,North Ames,5.0,1960.0,Metal Siding,1065.0,True,1065.0,126500
8530.0,Gilbert,,1995.0,Hard Board,384.0,True,1474.0,168500
11911.0,Gilbert,6.0,2005.0,Vinyl Siding,684.0,True,1560.0,174000
3951.0,Somerset,6.0,2009.0,Vinyl Siding,612.0,True,1224.0,164500
8470.0,Iowa DOT and Rail Road,3.0,1915.0,Plywood,1013.0,False,1526.0,85000
8070.0,College Creek,4.0,1994.0,Vinyl Siding,,True,990.0,123600
7200.0,North Ames,4.0,1950.0,Brick Face,0.0,True,1040.0,109900
8500.0,North Ames,5.0,1961.0,Hard Board,1235.0,True,1235.0,98600
13360.0,Crawford,5.0,1921.0,Wood Siding,876.0,True,964.0,163500
,,6.0,1910.0,Metal Siding,1214.0,False,2291.0,133900
9337.0,College Creek,6.0,1997.0,Vinyl Siding,824.0,True,1786.0,204750
9765.0,Gilbert,6.0,1993.0,Vinyl Siding,680.0,True,1470.0,185000
10921.0,,,1965.0,Hard Board,960.0,True,960.0,94750
10625.0,,5.0,1920.0,Wood Siding,458.0,False,835.0,83000
9320.0,North Ames,4.0,1959.0,Plywood,950.0,True,1225.0,128950
10603.0,Northwest Ames,6.0,1977.0,Plywood,1610.0,True,1610.0,205000
9206.0,Sawyer West,6.0,1985.0,,741.0,True,1732.0,178000
7018.0,Sawyer West,5.0,1979.0,Hard Board,0.0,True,1535.0,118964
10402.0,,7.0,2009.0,Vinyl Siding,1226.0,True,1226.0,198900
7758.0,Iowa DOT and Rail Road,7.0,1931.0,,1040.0,True,1818.0,169500
9375.0,Somerset,8.0,2003.0,Vinyl Siding,1053.0,True,1992.0,250000
