House ID,LotArea,Neighborhood,OverallQual,YearBuilt,Exterior1st,TotalBsmtSF,CentralAir,GrLivArea,SalePrice
House 110,6120.0,Old Town,7.0,1931.0,Brick Face,952.0,True,1774.0,129900
House 111,7420.0,Brookside,5.0,1939.0,Metal Siding,991.0,True,1077.0,118000
House 112,,Sawyer,,1965.0,Hard Board,1040.0,True,1040.0,129500
House 113,11924.0,Northridge Heights,9.0,2005.0,Wood Shingles,1175.0,True,2324.0,345000
House 114,12968.0,Sawyer,5.0,1962.0,Hard Board,912.0,True,912.0,144000
House 115,10652.0,College Creek,7.0,2006.0,Vinyl Siding,1494.0,True,1494.0,279500
House 116,10920.0,North Ames,6.0,1960.0,Metal Siding,,True,1253.0,157000
House 117,6120.0,Brookside,7.0,1929.0,Wood Siding,,True,854.0,132000
House 118,11241.0,North Ames,6.0,1970.0,Wood Siding,1004.0,True,1004.0,149000
House 119,10791.0,Sawyer,4.0,1967.0,Metal Siding,0.0,True,1296.0,90000
House 120,13695.0,Sawyer West,,2004.0,Vinyl Siding,1114.0,True,1114.0,159000
House 121,7560.0,North Ames,5.0,1958.0,Brick Face,1029.0,True,1339.0,139000
House 122,,Northridge Heights,8.0,2005.0,Vinyl Siding,1158.0,True,2376.0,325300
House 123,7449.0,Iowa DOT and Rail Road,7.0,,Wood Siding,637.0,True,1108.0,139400
House 124,9742.0,College Creek,8.0,2002.0,Vinyl Siding,1777.0,True,1795.0,230000
House 125,4224.0,Meadow Village,5.0,1976.0,Cement Board,1040.0,,1060.0,129900
House 126,8246.0,Sawyer,5.0,1968.0,Plywood,1060.0,True,,154000
House 127,14230.0,Northridge Heights,8.0,2007.0,Vinyl Siding,1566.0,True,1600.0,256300
House 128,7200.0,North Ames,5.0,1951.0,Wood Siding,900.0,True,900.0,134800
House 129,11478.0,,8.0,2007.0,Vinyl Siding,1704.0,True,1704.0,306000
House 130,16321.0,North Ames,5.0,1957.0,Metal Siding,1484.0,True,1600.0,207500
